language,code_mixed,english
Banglish,Shob thik toh?,Is everything okay?
Banglish,Ekhon ki korbo?,What do we do now?
Banglish,Ekto thako,ami aschi.
Banglish,Ekhon free acho?,Are you free now?
Banglish,Nijeke bhalo rekho.,Take care of yourself.
Banglish,Amar kotha shuno.,Listen to me.
Banglish,Tomar juto poro.,Wear your shoes.
Banglish,Oke call koro.,Call him.
Banglish,Sokal e amake jagaio.,Wake me up in the morning.
Banglish,Tumi kichu chaicho?,Do you want something?
Banglish,Ami porer dine kotha bolbo.,I'll talk later.
Banglish,Amar kono time nei.,I have no time.
Banglish,Tomar maa baba kemon achhen?,How are your parents?
Banglish,Kal ki plan?,What's the plan tomorrow?
Banglish,Tumi kothay?,Where are you?
Banglish,Tumi ki ekhon busy?,Are you busy now?
Banglish,Party kokhon start hobe?,When will the party start?
Banglish,Tumi amake shunte pachho?,Can you hear me?
Banglish,Amake ek minute dao.,Give me a minute.
Banglish,Amar sathe cholo.,Come with me.
Banglish,Tomar homework koro.,Do your homework.
Banglish,Eta amar favorite.,This is my favorite.
Banglish,Se ki bollo?,What did he say?
Banglish,Ami kichu bujhini.,I didn't get anything.
Banglish,Tumi darun kaaj korecho.,You did a great job.
Banglish,Take chhere dao.,Let him go.
Banglish,Eta tomar jonne.,This is for you.
Banglish,Eto tai jothesto.,That's enough.
Banglish,Ami just mojar korchhilam.,I was just joking.
Banglish,Tumi always late.,You're always late.
Banglish,Ami baire jete chai.,I want to go out.
Banglish,Tumi sure toh?,Are you sure?
Banglish,Amar oke kotha bolte hobe.,I have to talk to him.
Banglish,Eta khub important.,This is very important.
Banglish,Aajker din ta khub bhalo chhilo.,Today was a very nice day.
Banglish,Shubho raatri.,Good night.
Hinglish,Kya kar rahe ho?,What are you doing?
Hinglish,Tum kahan ho?,Where are you?
Hinglish,Main theek hoon.,I am fine.
Hinglish,Mujhe bhookh lagi hai.,I am hungry.
Hinglish,Chalo bahar chalte hain.,Let's go outside.
Hinglish,Tumhara naam kya hai?,What is your name?
Hinglish,Mujhe thoda time chahiye.,I need some time.
Hinglish,Phone uthao.,Pick up the phone.
Hinglish,Mujhe der ho rahi hai.,I am getting late.
Hinglish,Yeh kitne ka hai?,How much is this?
Hinglish,Ab kya karein?,What should we do now?
Hinglish,Mujhe ghar jaana hai.,I want to go home.
Hinglish,Kal milte hain.,See you tomorrow.
Hinglish,Zaroori kaam hai.,It's an important task.
Hinglish,Thoda ruk jao.,Wait a bit.
Hinglish,Jaldi karo.,Hurry up.
Hinglish,Mujhe nahi pata.,I don't know.
Hinglish,Aaj mausam acha hai.,The weather is good today.
Hinglish,Kya tum free ho?,Are you free?
Hinglish,Main busy hoon.,I am busy.
Hinglish,TV chalu karo.,Turn on the TV.
Hinglish,Yeh bahut acha hai.,This is very good.
Hinglish,Mujhe neend aa rahi hai.,I am feeling sleepy.
Hinglish,Samay barbaad mat karo.,Don't waste time.
Hinglish,Main thak gaya hoon.,I am tired.
Hinglish,Kitne baje?,What time?
Hinglish,Aap kaise ho?,How are you?
Hinglish,Thik hai.,Okay.
Hinglish,Mujhe kaam hai.,I have work.
Hinglish,Tumhara ghar kahan hai?,Where is your house?
Hinglish,Kaam ho gaya?,Is the work done?
Hinglish,Yeh kya ho raha hai?,What is happening?
Hinglish,Dhyan se suno.,Listen carefully.
Hinglish,Mujhe yeh pasand hai.,I like this.
Hinglish,Tumhara phone baj raha hai.,Your phone is ringing.
Hinglish,Yeh galat hai.,This is wrong.
Hinglish,Mujhe maaf karo.,Forgive me.
Hinglish,Tum kya soch rahe ho?,What are you thinking?
Hinglish,Bahut der ho gayi.,It's too late.
Hinglish,Thoda pani do.,Give me some water.
Hinglish,Main aata hoon.,I'll be right back.
Hinglish,Tum bahut ache ho.,You are very nice.
Hinglish,Kya ho gaya?,What happened?
Hinglish,Kya tumhein samajh aaya?,Did you understand?
Hinglish,Kripya darwaza kholo.,Please open the door.
Hinglish,Koi baat nahi.,No problem.
Hinglish,Chup raho.,Keep quiet.
Hinglish,Main tumse baad mein baat karoonga.,I'll talk to you later.
Hinglish,Yahan ruk jao.,Stay here.
Hinglish,Mujhe tumhari madad chahiye.,I need your help.
Hinglish,Sab theek hai.,Everything is fine.
Hinglish,Mujhe kuch kehna hai.,I want to say something.
Hinglish,Tum kaam par ja rahe ho?,Are you going to work?
Hinglish,Abhi nahi.,Not now.
Hinglish,Thoda intezaar karo.,Wait a little.
Hinglish,Bahut badiya!,Very nice!
Hinglish,Mujhe ghar chhod do.,Drop me home.
Hinglish,Mujhe samajh nahi aaya.,I didn't understand.
Hinglish,Mujhe yeh chahiye.,I want this.
Hinglish,Aaj kya din hai?,What day is it today?
Hinglish,Mujhe kal yaad dilana.,Remind me tomorrow.
Hinglish,Tumhara favorite color kya hai?,What is your favorite color?
Hinglish,Main tumse pyaar karta hoon.,I love you.
Hinglish,Kya tum mujhe sun rahe ho?,Are you listening to me?
Hinglish,Thoda kam bolo.,Speak a little less.
Hinglish,Woh kaun tha?,Who was that?
Hinglish,Main kuch bhool gaya hoon.,I have forgotten something.
Hinglish,Kya main andar aa sakta hoon?,Can I come in?
Hinglish,Mujhe sochne do.,Let me think.
Hinglish,Main ready hoon.,I am ready.
Hinglish,Bahar mat jao.,Don't go outside.
Hinglish,Yeh sach hai.,This is true.
Hinglish,Main jhoot nahi bol raha hoon.,I am not lying.
Hinglish,Mujhe yahan se jaana hai.,I have to leave from here.
Hinglish,Yeh mera hai.,This is mine.
Hinglish,Tumhari smile acchi hai.,Your smile is nice.
Hinglish,Main tumse naraaz hoon.,I am angry with you.
Hinglish,Ab kya chahiye?,What do you want now?
Hinglish,Chinta mat karo.,Don't worry.
Hinglish,Kya tum mere saath chaloge?,Will you come with me?
Hinglish,Kya sab kuch theek hai?,Is everything okay?
Hinglish,Woh mera dost hai.,He is my friend.
Hinglish,Tumhara ghar sundar hai.,Your house is beautiful.
Hinglish,Yeh bahut mehenga hai.,This is very expensive.
Hinglish,Main tumhare bina jee nahi sakta.,I can't live without you.
Hinglish,Tum mere liye special ho.,You are special to me.
Hinglish,Kya tumne khana khaya?,Did you eat food?
Hinglish,Main tumse baat kar raha hoon.,I am talking to you.
Hinglish,Main office mein hoon.,I am at the office.
Hinglish,Mujhe ghar jaldi jaana hai.,I have to go home early.
Hinglish,Main exercise kar raha hoon.,I am exercising.
Hinglish,Tumhara kaam kaisa chal raha hai?,How is your work going?
Hinglish,Main bahar hoon.,I am outside.
Hinglish,Yahan mat baitho.,Don't sit here.
Hinglish,Main thoda thak gaya hoon.,I am a little tired.
Hinglish,Tum kya padh rahe ho?,What are you studying?
Hinglish,Tumhara exam kab hai?,When is your exam?
Hinglish,Main try karunga.,I will try.
Hinglish,Yeh last chance hai.,This is the last chance.
Hinglish,Main ghar pahunch gaya hoon.,I have reached home.
Hinglish,Kya tum free ho aaj?,Are you free today?
Hinglish,Main tumhara wait kar raha hoon.,I am waiting for you.
Hinglish,Aaj mausam kharab hai.,The weather is bad today.
Hinglish,Mujhe late ho gaya.,I got late.
Hinglish,Yeh easy hai.,This is easy.
Tanglish,Enna panra?,What are you doing?
Tanglish,Velila polaama?,Shall we go out?
Tanglish,Enakku theriyala.,I don't know.
Tanglish,Sari,na poren.
Tanglish,Phone la pesu.,Talk on the phone.
Tanglish,Late aagudhu.,It's getting late.
Tanglish,Enakku venum.,I want it.
Tanglish,Coffee kudichiya?,Did you drink coffee?
Tanglish,Light off pannunga.,Turn off the light.
Tanglish,Switch on pannunga.,Turn on the switch.
Tanglish,Naan ready.,I'm ready.
Tanglish,Avan friend da.,He is a friend.
Tanglish,Enakku pidikkala.,I didn't like it.
Tanglish,Pesama poitu vandhaan.,He left without talking.
Tanglish,Semma scene da.,Awesome scene
Tanglish,Class skip pannita.,I skipped the class.
Tanglish,Exam nalla senjiruken.,I did well in the exam.
Tanglish,Enakku time illa.,I don't have time.
Tanglish,Adhu romba costly.,That is very costly.
Tanglish,Naanga movie pakalam.,Shall we watch a movie?
Tanglish,Call pannu da.,Make a call
Tanglish,Appa vandhachu.,Dad has come.
Tanglish,Mobile charge panra.,Charging the mobile.
Tanglish,Laptop hang aagiduchu.,The laptop got stuck.
Tanglish,Inime ippadi panradha niruthidu.,Stop doing this from now.
Tanglish,Leave pottuten.,I took leave.
Tanglish,Class la irundhen.,I was in class.
Tanglish,Bus miss panniten.,I missed the bus.
Tanglish,Ellarum seriyaa irukaanga.,Everyone is doing well.
Tanglish,Pasanga ellam veliya poitaanga.,The boys went out.
Tanglish,Ava pesala.,She didn't talk.
Tanglish,Innikki meeting irukku.,There is a meeting today.
Tanglish,Work over aayiduchu.,The work is over.
Tanglish,Chumma irundhen.,I was just chilling.
Tanglish,Yenna solla vara?,What are you trying to say?
Tanglish,Andha matter leave pannunga.,Leave that matter.
Tanglish,Inime ipdi nadakkakoodadhu.,This shouldn't happen again.
Tanglish,Ticket book pannitten.,I booked the ticket.
Tanglish,Oru tea kudikkalama?,Shall we drink a tea?
Tanglish,Enaku headache irukku.,I have a headache.
Tanglish,Avan offline poyitaan.,He went offline.
Tanglish,Update pannirukken.,I have updated it.
Tanglish,Adhu super idea.,That's a great idea.
Tanglish,Inga vandhu ukkaaru.,Come sit here.
Tanglish,Mudinja udane sollu.,Tell me once you finish.
Tanglish,Indha number save panniko.,Save this number.
Tanglish,Therila da.,I don't know
Tanglish,Appa late aagiduchu.,Oh no
Tanglish,Phone silent la vechirka.,Phone is in silent mode.
Tanglish,Vidu da,poi thungu.
Tanglish,Selfie eduthukalaama?,Shall we take a selfie?
Tanglish,Group la add pannu da.,Add me to the group
Tanglish,Enna koduma ithu?,What nonsense is this?
Tanglish,Seri vidu.,Just leave it.
Tanglish,Enna koduma saravanan ithu?,What kind of nonsense is this? (expression of frustration)
Tanglish,Adhu enna da solra?,What is he saying?
Tanglish,Naan dhan da adhu.,That was me
Tanglish,Enna maari irukku?,How is it going?
Tanglish,Epdi irukke?,How are you?
Tanglish,Sandwich sapiduva?,Shall we eat sandwich?
Tanglish,Tea ah coffee ah?,Tea or coffee?
Tanglish,Enna panna pora?,What are you going to do?
Tanglish,Enna da panra?,What are you doing
Tanglish,Adhu enna da?,What is that?
Tanglish,Enna kodumai saravanan ithu?,What kind of cruelty is this? (expression of surprise/frustration)
Tanglish,Seri poidu.,Okay
Tanglish,Enna maari irukku ungaluku?,How are you? (formal)
Tanglish,Naan varala.,I'm not coming.
Tanglish,Enna da panreenga?,What are you all doing?
Tanglish,Adhu enna da solreenga?,What are you all saying?
Tanglish,Seri vidunga.,Just leave it (respectful).
Tanglish,Enna da panreenga?,What are you all doing? (informal)
Tanglish,Adhu enna da?,What is that? (informal)
Tanglish,Seri poidu.,Okay
Tanglish,Enna maari irukku ungaluku?,How are you? (formal)
Tanglish,Naan varala.,I'm not coming.
Tanglish,Enna da panreenga?,What are you all doing?
Tanglish,Adhu enna da solreenga?,What are you all saying?
Tanglish,Seri vidunga.,Just leave it (respectful).
Tanglish,Enna da panreenga?,What are you all doing? (informal)
Tanglish,Adhu enna da?,What is that? (informal)
Bihlish,Ka haal ba?,How are you?
Bihlish,Kaise ho aap?,How are you?
Bihlish,Kya haal chaal?,What's up?
Bihlish,Khane ko kya hai?,What's there to eat?
Bihlish,Chalo ghumne chalte hain.,Let's go for a walk.
Bihlish,Kya kar rahe ho?,What are you doing?
Bihlish,Kahan ho aajkal?,Where have you been these days?
Bihlish,Kaisa chala raha hai?,How's it going?
Bihlish,Kuch khaas nahi.,Nothing much.
Bihlish,Maza aa gaya.,I enjoyed it.
Bihlish,Kitne baje aayega?,What time will you come?
Bihlish,Abhi aaya hoon.,I just came.
Bihlish,Kal milte hain.,See you tomorrow.
Bihlish,Phone karna.,Call me.
Bihlish,Message karna.,Message me.
Bihlish,Wait karo.,Wait.
Bihlish,Jaldi karo.,Hurry up.
Bihlish,Main thak gaya hoon.,I am tired.
Bihlish,Main so raha hoon.,I am sleeping.
Bihlish,Kya hua?,What happened?
Bihlish,Koi baat nahi.,No problem.
Bihlish,Theek hai.,Okay.
Bihlish,Achha hua.,Good thing.
Bihlish,Bahut acha.,Very good.
Bihlish,Kya baat hai?,What's the matter?
Bihlish,Kya karun?,What should I do?
Bihlish,Mujhe nahi pata.,I don't know.
Bihlish,Samajh me aaya?,Did you understand?
Bihlish,Fir milenge.,See you again.
Bihlish,Chalo chalte hain.,Let's go.
Bihlish,Kahan ja rahe ho?,Where are you going?
Bihlish,Ghar ja raha hoon.,I'm going home.
Bihlish,Office ja raha hoon.,I'm going to office.
Bihlish,Kitna hua?,How much is it?
Bihlish,Kitne ka diya?,How much did you pay?
Bihlish,Main ready hoon.,I am ready.
Bihlish,Abhi aata hoon.,I'll come now.
Bihlish,Der ho rahi hai.,It's getting late.
Bihlish,Jaldi karo na.,Please hurry up.
Bihlish,Mujhe bhi chahiye.,I want it too.
Bihlish,Kuch nahi chahiye.,I don't want anything.
Bihlish,Maine socha tha.,I thought so.
Bihlish,Aisa mat karo.,Don't do that.
Bihlish,Kya bol rahe ho?,What are you saying?
Bihlish,Maine suna.,I heard.
Bihlish,Aisa hi hai.,That's how it is.
Bihlish,Kab tak?,Until when?
Bihlish,Abhi tak?,Until now?
Bihlish,Kal tak.,Until tomorrow.
Bihlish,Kitna time lagega?,How much time will it take?
Bihlish,Thoda sa.,A little bit.
Bihlish,Zyada mat bol.,Don't talk too much.
Bihlish,Chup raho.,Be quiet.
Bihlish,Mujhe jaana hai.,I have to go.
Bihlish,Kya karun main?,What should I do?
Bihlish,Maine kaha tha na?,Didn't I tell you?
Bihlish,Aisa kyun?,Why so?
Bihlish,Koi nahi.,Never mind.
Bihlish,Phir se bolo.,Say it again.
Bihlish,Samajh me nahi aaya.,I didn't understand.
Bihlish,Kya samjhe?,What do you mean?
Bihlish,Maine kaha tha.,I told you.
Bihlish,Aisa mat karo.,Don't do that.
Bihlish,Main ja raha hoon.,I'm going.
Bihlish,Achha hua bataya.,Good that you told me.
Bihlish,Kab aayega?,When will you come?
Bihlish,Abhi aaya.,I just came.
Bihlish,Kya chal raha hai?,What's going on?
Bihlish,Kuch nahi.,Nothing.
Bihlish,Main theek hoon.,I'm fine.
Bihlish,Tum suno.,You listen.
Bihlish,Maine sun liya.,I heard it.
Bihlish,Phir milte hain.,See you again.
Bihlish,Kal milenge.,See you tomorrow.
Bihlish,Subah milte hain.,See you in the morning.
Bihlish,Sham ko milte hain.,See you in the evening.
Bihlish,Raat ko milte hain.,See you at night.
Bihlish,Office chalein?,Shall we go to office?
Bihlish,Ghar chalein?,Shall we go home?
Bihlish,Kya kar rahe ho aajkal?,What are you doing these days?
Bihlish,Kuch nahi kar raha.,I'm not doing anything.
Bihlish,Bas yunhi.,Just like that.
Bihlish,Acha laga.,I liked it.
Bihlish,Mujhe pasand aaya.,I liked it.
Bihlish,Bahut acha laga.,I liked it very much.
Bihlish,Maza aa gaya.,I enjoyed it.
Bihlish,Phir karenge.,We'll do it later.
Bihlish,Abhi nahi.,Not now.
Bihlish,Kab karenge?,When will we do it?
Bihlish,Jab man kare.,Whenever you feel like.
Bihlish,Main bataunga.,I'll let you know.
Bihlish,Tum batao.,You tell me.
Bihlish,Kya socha hai?,What do you think?
Bihlish,Maine socha.,I thought.
Bihlish,Acha hua puch liya.,Good that you asked.
Bihlish,Koi baat nahi.,No problem.
Bihlish,Chhod do.,Leave it.
Bihlish,Jaane do.,Let it go.
Bihlish,Main ja raha hoon.,I'm going.
Bihlish,Main aaya.,I'm here.
Bihlish,Main ja raha hoon.,I'm leaving.
Bihlish,Phir milte hain.,See you again.
Bihlish,Khuda hafiz.,Goodbye.
Manglish,Apa khabar?,How are you?
Manglish,Aku okay je.,I'm okay.
Manglish,Jom lepak.,Let's hang out.
Manglish,Kau la ni.,I don't know.
Manglish,Alamak!,Oh my god!
Manglish,Tak boleh tahan.,Can't stand it anymore.
Manglish,Syok la.,That's awesome.
Manglish,Tak best.,That's the best.
Manglish,Tak sedap.,Very delicious.
Manglish,Jom makan.,Let's eat.
Manglish,Sudah makan?,Have you eaten?
Manglish,Belum lagi.,Not yet.
Manglish,Sudah habis.,Already finished.
Manglish,Jom minum.,Let's drink.
Manglish,Minum apa?,What would you like to drink?
Manglish,Teh tarik satu.,One pulled tea
Manglish,Es teh ais.,Iced tea.
Manglish,Tak nak.,I don't want.
Manglish,Mahal sangat.,Too expensive.
Manglish,Murah sikit.,A bit cheaper.
Manglish,Boleh kurang?,Can reduce the price?
Manglish,Tak ada duit.,No money.
Manglish,Esok jumpa lagi.,See you tomorrow.
Manglish,Jom balik.,Let's go back.
Manglish,Jumpa nanti.,See you later.
Manglish,Selamat tinggal.,Goodbye.
Manglish,Selamat malam.,Good night.
Manglish,Selamat pagi.,Good morning.
Manglish,Selamat petang.,Good afternoon.
Manglish,Selamat datang.,Welcome.
Manglish,Terima kasih.,Thank you.
Manglish,Sama-sama.,You're welcome.
Manglish,Maaf.,Sorry.
Manglish,Tak apa-apa.,It's okay.
Manglish,Jangan marah.,Don't be angry.
Manglish,Saya marah.,I'm angry.
Manglish,Saya sayang awak.,I love you.
Manglish,Saya rindu awak.,I miss you.
Manglish,Saya sibuk.,I'm busy.
Manglish,Saya penat.,I'm tired.
Manglish,Saya mengantuk.,I'm sleepy.
Manglish,Saya lapar.,I'm hungry.
Manglish,Saya haus.,I'm thirsty.
Manglish,Saya sakit.,I'm sick.
Manglish,Jom pergi.,Let's go.
Manglish,Mari sini.,Come here.
Manglish,Duduk sini.,Sit here.
Manglish,Berdiri.,Stand up.
Manglish,Diam.,Be quiet.
Manglish,Cepat.,Hurry up.
Manglish,Perlahan sikit.,Slow down.
Manglish,Tunggu.,Wait.
Manglish,Nanti dulu.,Wait a minute.
Manglish,Sekarang.,Now.
Manglish,Nanti.,Later.
Manglish,Esok.,Tomorrow.
Manglish,Kelmarin.,Yesterday.
Manglish,Hari ini.,Today.
Manglish,Di mana?,Where?
Manglish,Di sini.,Here.
Manglish,Di sana.,There.
Manglish,Siapa nama awak?,What's your name?
Manglish,Nama saya...,My name is...
Manglish,Berapa umur awak?,How old are you?
Manglish,Saya berumur...,I am ... years old.
Manglish,Awak dari mana?,Where are you from?
Manglish,Saya dari...,I'm from...
Manglish,Awak kerja apa?,What's your job?
Manglish,Saya...,I am a...
Manglish,Saya pelajar.,I'm a student.
Manglish,Saya guru.,I'm a teacher.
Manglish,Saya doktor.,I'm a doctor.
Manglish,Saya jururawat.,I'm a nurse.
Manglish,Saya jurutera.,I'm an engineer.
Manglish,Saya peniaga.,I'm a businessman.
Manglish,Saya suri rumah.,I'm a housewife.
Manglish,Saya pencen.,I'm retired.
Manglish,Saya menganggur.,I'm unemployed.
Manglish,Saya cari kerja.,I'm looking for a job.
Manglish,Saya sibuk.,I'm busy.
Manglish,Saya ada masa lapang.,I have free time.
Manglish,Jom lepak.,Let's hang out.
Manglish,Jom makan.,Let's eat.
Manglish,Jom minum.,Let's drink.
Manglish,Jom jalan-jalan.,Let's go for a walk.
Manglish,Jom tengok wayang.,Let's watch a movie.
Manglish,Jom shopping.,Let's go shopping.
Manglish,Jom balik.,Let's go back.
Manglish,Jom tidur.,Let's sleep.
Manglish,Jom mandi.,Let's take a bath.
Manglish,Jom belajar.,Let's study.
Manglish,Jom main.,Let's play.
Manglish,Jom bercuti.,Let's go on a holiday.
Manglish,Jom travel.,Let's travel.
Manglish,Jom naik kereta.,Let's take the car.
Manglish,Jom naik bas.,Let's take the bus.
Manglish,Jom naik teksi.,Let's take a taxi.
Manglish,Jom naik LRT.,Let's take the LRT.
Manglish,Jom naik MRT.,Let's take the MRT.
Manglish,Jom naik KTM.,Let's take the KTM.
Manglish,Jom naik monorel.,Let's take the monorail.
Manglish,Jom naik basikal.,Let's ride a bicycle.
Manglish,Jom naik motor.,Let's ride a motorcycle.
Manglish,Jom naik kapal terbang.,Let's take a plane.
Manglish,Jom naik bot.,Let's take a boat.
Manglish,Jom naik feri.,Let's take a ferry.
Manglish,Jom naik keretapi.,Let's take a train.
Manglish,Jom naik ETS.,Let's take the ETS.
Manglish,Jom naik ERL.,Let's take the ERL.
Manglish,Jom naik KLIA Ekspres.,Let's take the KLIA Ekspres.
Manglish,Jom naik KLIA Transit.,Let's take the KLIA Transit.
Manglish,Jom naik MRT Kajang.,Let's take the MRT Kajang.
Manglish,Jom naik MRT Putrajaya.,Let's take the MRT Putrajaya.
Manglish,Jom naik MRT Sungai Buloh-Kajang.,Let's take the MRT Sungai Buloh-Kajang.
Manglish,Jom naik MRT Sungai Buloh-Serdang-Putrajaya.,Let's take the MRT Sungai Buloh-Serdang-Putrajaya.
Manglish,Jom naik MRT Putrajaya Line.,Let's take the MRT Putrajaya Line.
Manglish,Jom naik MRT Kajang Line.,Let's take the MRT Kajang Line.
Manglish,Jom naik MRT Circle Line.,Let's take the MRT Circle Line.
Manglish,Jom naik MRT SBK Line.,Let's take the MRT SBK Line.
Manglish,Jom naik MRT SSP Line.,Let's take the MRT SSP Line.
Manglish,Jom naik MRT Line 1.,Let's take the MRT Line 1.
Manglish,Jom naik MRT Line 2.,Let's take the MRT Line 2.
Manglish,Jom naik MRT Line 3.,Let's take the MRT Line 3.
Manglish,Jom naik MRT Line 4.,Let's take the MRT Line 4.
Manglish,Jom naik MRT Line 5.,Let's take the MRT Line 5.
Manglish,Jom naik MRT Line 6.,Let's take the MRT Line 6.
Manglish,Jom naik MRT Line 7.,Let's take the MRT Line 7.
Manglish,Jom naik MRT Line 8.,Let's take the MRT Line 8.
Manglish,Jom naik MRT Line 9.,Let's take the MRT Line 9.
Manglish,Jom naik MRT Line 10.,Let's take the MRT Line 10.
Manglish,Jom naik MRT Line 11.,Let's take the MRT Line 11.
Manglish,Jom naik MRT Line 12.,Let's take the MRT Line 12.
Manglish,Jom naik MRT Line 13.,Let's take the MRT Line 13.
Manglish,Jom naik MRT Line 14.,Let's take the MRT Line 14.
Manglish,Jom naik MRT Line 15.,Let's take the MRT Line 15.
Manglish,Jom naik MRT Line 16.,Let's take the MRT Line 16.
Manglish,Jom naik MRT Line 17.,Let's take the MRT Line 17.
Manglish,Jom naik MRT Line 18.,Let's take the MRT Line 18.
Manglish,Jom naik MRT Line 19.,Let's take the MRT Line 19.
Manglish,Jom naik MRT Line 20.,Let's take the MRT Line 20.
Manglish,Jom naik MRT Line 21.,Let's take the MRT Line 21.
Manglish,Jom naik MRT Line 22.,Let's take the MRT Line 22.
Manglish,Jom naik MRT Line 23.,Let's take the MRT Line 23.
Manglish,Jom naik MRT Line 24.,Let's take the MRT Line 24.
Manglish,Jom naik MRT Line 25.,Let's take the MRT Line 25.
Manglish,Jom naik MRT Line 26.,Let's take the MRT Line 26.
Manglish,Jom naik MRT Line 27.,Let's take the MRT Line 27.
Manglish,Jom naik MRT Line 28.,Let's take the MRT Line 28.
Manglish,Jom naik MRT Line 29.,Let's take the MRT Line 29.
Manglish,Jom naik MRT Line 30.,Let's take the MRT Line 30.
Manglish,Jom naik MRT Line 31.,Let's take the MRT Line 31.
Manglish,Jom naik MRT Line 32.,Let's take the MRT Line 32.
Manglish,Jom naik MRT Line 33.,Let's take the MRT Line 33.
Manglish,Jom naik MRT Line 34.,Let's take the MRT Line 34.
Manglish,Jom naik MRT Line 35.,Let's take the MRT Line 35.
Manglish,Jom naik MRT Line 36.,Let's take the MRT Line 36.
Manglish,Jom naik MRT Line 37.,Let's take the MRT Line 37.
Manglish,Jom naik MRT Line 38.,Let's take the MRT Line 38.
Manglish,Jom naik MRT Line 39.,Let's take the MRT Line 39.
Manglish,Jom naik MRT Line 40.,Let's take the MRT Line 40.
Manglish,Jom naik MRT Line 41.,Let's take the MRT Line 41.
Manglish,Jom naik MRT Line 42.,Let's take the MRT Line 42.
Manglish,Jom naik MRT Line 43.,Let's take the MRT Line 43.
Manglish,Jom naik MRT Line 44.,Let's take the MRT Line 44.
Manglish,Jom naik MRT Line 45.,Let's take the MRT Line 45.
Manglish,Jom naik MRT Line 46.,Let's take the MRT Line 46.
Manglish,Jom naik MRT Line 47.,Let's take the MRT Line 47.
Manglish,Jom naik MRT Line 48.,Let's take the MRT Line 48.
Manglish,Jom naik MRT Line 49.,Let's take the MRT Line 49.
Manglish,Jom naik MRT Line 50.,Let's take the MRT Line 50.
Manglish,Jom naik MRT Line 51.,Let's take the MRT Line 51.
Manglish,Jom naik MRT Line 52.,Let's take the MRT Line 52.
Manglish,Jom naik MRT Line 53.,Let's take the MRT Line 53.
Manglish,Jom naik MRT Line 54.,Let's take the MRT Line 54.
Manglish,Jom naik MRT Line 55.,Let's take the MRT Line 55.
